Accession1,Accession2,Similarity_Score
Q99527,P24530,0.08
Q99527,P02699,0.09
Q99527,P32249,0.15
Q99527,P49286,0.1
Q99527,P51686,0.14
Q99527,P20309,0.06
Q99527,Q9ERZ3,0.06
O75469,P37238,0.15
O75469,P10276,0.15
O75469,O35627,0.29
O75469,P23204,0.14
O75469,P49881,0.16
O75469,P10828,0.17
O75469,Q59FW3,0.16
O75469,P51450,0.1
O75469,Q03181,0.14
O75469,P18113,0.17
O75469,P19785,0.1
O75469,Q07869,0.14
O75469,P37230,0.14
O75469,P55055,0.19
O75469,Q9Y5X4,0.1
O75469,P22199,0.08
O75469,Q14541,0.1
O75469,O95718,0.1
O75469,Q96RI1,0.11
O75469,P51449,0.15
O75469,P06537,0.08
O75469,P11473,0.33
O75469,P28700,0.12
O75469,O00482,0.1
O75469,P04150,0.09
O75469,Q62986,0.09
O75469,Q13133,0.2
O75469,P35396,0.14
O75469,P15207,0.08
O75469,P08235,0.08
O75469,Q05343,0.12
O75469,P49884,0.1
O75469,O08537,0.09
O75469,P06211,0.1
O75469,P62508,0.1
O75469,P37231,0.15
O75469,P18911,0.1
O75469,P11474,0.1
O75469,P10589,0.09
O75469,Q13285,0.09
O75469,P06186,0.09
O75469,Q14994,0.32
O75469,P06536,0.08
O75469,P10275,0.08
O75469,P28702,0.09
O75469,P19091,0.08
O75469,O88275,0.15
O75469,P41235,0.1
O75469,Q92731,0.09
O75469,P22605,0.16
O75469,P07812,0.08
O75469,P11416,0.15
O75469,P13053,0.34
O75469,Q5BJR8,0.11
O75469,P43354,0.1
O75469,P28704,0.09
O75469,P10826,0.16
O75469,P06401,0.09
O75469,O42392,0.35
O75469,P22736,0.13
O75469,P19793,0.12
O75469,P49116,0.1
O75469,P03372,0.1
O75469,P48443,0.1
O75469,P63059,0.15
O75469,P35398,0.1
O75469,O18531,0.17
O75469,P10827,0.15
O75469,Q92753,0.1
O75469,Q63449,0.08
O75469,Q28037,0.33
O75469,P34021,0.17
O75469,P49743,0.09
O75469,P13631,0.1
O75469,P28705,0.1
O95050,P10938,0.32
O95050,P40261,0.5
O95050,P11086,0.33
O95050,O97972,0.89
P25092,Q07014,0.03
P25092,P16277,0.03
P25092,Q8TD19,0.02
P25092,Q9UKE5,0.02
P25092,P16092,0.04
P25092,P16591,0.03
P25092,P21709,0.03
P25092,P20786,0.03
P25092,P51955,0.03
P25092,P53671,0.03
P25092,Q13882,0.04
P25092,Q13153,0.02
P25092,Q05397,0.03
P25092,O15197,0.03
P25092,P35991,0.04
P25092,P35968,0.03
P25092,P53667,0.03
P25092,P41240,0.03
P25092,P29323,0.04
P25092,P29678,0.02
P25092,Q9UL54,0.02
P25092,Q08345,0.03
P25092,Q00342,0.03
P25092,Q9UEW8,0.02
P25092,P29376,0.02
P25092,P21802,0.04
P25092,Q9NYL2,0.04
P25092,Q8TDX7,0.02
P25092,O60266,0.04
P25092,Q78DX7,0.03
P25092,Q04400,0.05
P25092,P42679,0.04
P25092,P00530,0.04
P25092,P14234,0.03
P25092,Q04912,0.03
P25092,P11802,0.02
P25092,P04626,0.02
P25092,P08922,0.03
P25092,Q9P289,0.03
P25092,Q08828,0.05
P25092,A9UF02,0.03
P25092,P36888,0.03
P25092,P54763,0.04
P25092,P00521,0.03
P25092,Q06806,0.03
P25092,P42681,0.04
P25092,Q03137,0.04
P25092,P07947,0.03
P25092,Q9NYY3,0.02
P25092,P09581,0.03
P25092,P05532,0.03
P25092,P35590,0.03
P25092,O14920,0.02
P25092,P06494,0.02
P25092,Q6ZN16,0.03
P25092,P00519,0.03
P25092,Q00526,0.02
P25092,P16066,0.21
P25092,Q16832,0.03
P25092,P54753,0.03
P25092,Q15569,0.03
P25092,P00523,0.03
P25092,O75343,0.08
P25092,Q4JIM5,0.03
P25092,P51813,0.04
P25092,P14616,0.03
P25092,O14965,0.02
P25092,Q13470,0.02
P25092,P07948,0.03
P25092,P06239,0.04
P25092,Q61851,0.03
P25092,Q14289,0.02
P25092,P63185,0.03
P25092,Q9Y6E0,0.03
P25092,Q8NFD2,0.04
P25092,Q13976,0.02
P25092,P06213,0.03
P25092,P19525,0.02
P25092,Q12866,0.03
P25092,Q80XI6,0.03
P25092,P19687,0.07
P25092,P97504,0.04
P25092,Q6P6U0,0.03
P25092,O88351,0.02
P25092,Q9UQB9,0.02
P25092,P22607,0.03
P25092,P54756,0.04
P25092,P97477,0.02
P25092,P16234,0.03
P25092,P52332,0.03
P25092,O75914,0.02
P25092,P07949,0.03
P25092,P04629,0.03
P25092,Q92772,0.02
P25092,O00506,0.03
P25092,P15208,0.03
P25092,Q6P3R8,0.02
P25092,P26769,0.05
P25092,Q9H3Y6,0.04
P25092,P35969,0.03
P25092,Q99683,0.03
P25092,P12931,0.03
P25092,P51617,0.02
P25092,Q9JI10,0.03
P25092,P35916,0.02
P25092,P22455,0.03
P25092,Q08462,0.05
P25092,Q02108,0.07
P25092,P51451,0.03
P25092,Q16584,0.03
P25092,P00520,0.03
P25092,P00524,0.03
P25092,P54760,0.04
P25092,P52333,0.03
P25092,Q02750,0.02
P25092,Q5GIT4,0.03
P25092,Q05030,0.03
P25092,P41241,0.03
P25092,Q9P286,0.02
P25092,O14757,0.02
P25092,Q59H18,0.03
P25092,P21803,0.04
P25092,Q9WUD9,0.03
P25092,P07332,0.03
P25092,P19754,0.05
P25092,Q13188,0.03
P25092,Q08881,0.04
P25092,P29319,0.04
P25092,Q03142,0.03
P25092,P54764,0.04
P25092,Q06418,0.03
P25092,O43306,0.05
P25092,P11362,0.04
P25092,P05480,0.03
P25092,P16056,0.03
P25092,Q92918,0.02
P25092,P06240,0.04
P25092,Q9UF33,0.03
P25092,P43405,0.03
P25092,Q8WXR4,0.02
P25092,P53350,0.02
P25092,Q62137,0.03
P25092,P00533,0.02
P25092,Q03343,0.05
P25092,Q9BYT3,0.02
P25092,Q02779,0.03
P25092,P94182,0.03
P25092,P51828,0.05
P25092,P08631,0.03
P25092,Q02858,0.03
P25092,Q15375,0.04
P25092,Q13177,0.03
P25092,P15127,0.03
P25092,P20594,0.2
P25092,P35546,0.04
P25092,O43353,0.04
P25092,P29320,0.04
P25092,Q9R117,0.03
P25092,P06241,0.03
P25092,P35917,0.02
P25092,Q02763,0.04
P25092,O43283,0.04
P25092,P08069,0.03
P25092,Q07912,0.03
P25092,Q7L7X3,0.02
P25092,P21860,0.02
P25092,P00516,0.02
P25092,Q9NQU5,0.02
P25092,Q16288,0.03
P25092,Q12851,0.02
P25092,O95747,0.03
P25092,P42680,0.03
P25092,P31938,0.02
P25092,P35918,0.03
P25092,Q9Y616,0.03
P25092,O32393,0.03
P25092,Q06187,0.04
P25092,P21932,0.04
P25092,P40145,0.05
P25092,P26618,0.03
P25092,P36507,0.02
P25092,P97793,0.02
P25092,P16068,0.07
P25092,Q15303,0.02
P25092,Q13546,0.04
P25092,P09769,0.03
P25092,P08581,0.03
P25092,P05622,0.02
P25092,P32577,0.03
P25092,P54762,0.04
P25092,P80192,0.03
P25092,P06493,0.03
P25092,Q02153,0.07
P25092,P42685,0.03
P25092,P33402,0.07
P25092,P10721,0.03
P25092,O54967,0.03
P25092,P43403,0.03
P25092,Q62120,0.03
P25092,P23458,0.03
P25092,O60503,0.04
P25092,Q59EB3,0.03
P25092,P29322,0.04
P25092,P25911,0.03
P25092,P42684,0.03
P25092,P43404,0.03
P25092,P29597,0.03
P25092,P09619,0.03
P25092,Q56UN5,0.03
P25092,O15146,0.03
P25092,P29317,0.04
P25092,Q60751,0.03
P25092,P26770,0.05
P25092,P30530,0.03
P25092,P10398,0.03
P25092,O95622,0.05
P25092,Q9UM73,0.02
P25092,P17948,0.03
P25092,P40146,0.05
P25092,Q13043,0.03
P25092,Q16620,0.03
P25092,O60674,0.03
P25092,Q75ZY9,0.03
P25092,Q3U3Q1,0.02
P25092,O43318,0.04
P25092,P57078,0.03
Q6TGC4,Q9Y2J8,0.38
Q6TGC4,Q9ULW8,0.4
Q6TGC4,Q9UM07,0.42
Q6TGC4,Q9ULC6,0.4
P10614,Q16647,0.04
P10614,Q04468,0.05
P10614,P04798,0.06
P10614,Q02318,0.07
P10614,Q09128,0.05
P10614,P10611,0.07
P10614,P22443,0.05
P10614,P49430,0.06
P10614,Q16850,0.29
P10614,P14137,0.06
P10614,P08686,0.06
P10614,P20815,0.06
P10614,Q02928,0.07
P10614,P11712,0.05
P10614,Q9FH76,0.12
P10614,P49264,0.06
P10614,Q07973,0.06
P10614,P08683,0.04
P10614,P05108,0.05
P10614,P19099,0.05
P10614,P11715,0.05
P10614,P08516,0.08
P10614,P05181,0.04
P10614,P05177,0.06
P10614,Q16678,0.05
P10614,P15150,0.05
P10614,P00185,0.06
P10614,P05093,0.06
P10614,P05182,0.05
P10614,P15538,0.05
P10614,P30099,0.05
P10614,P18125,0.08
P10614,O43174,0.1
P10614,Q64654,0.29
P10614,O15528,0.06
P10614,P15393,0.05
P10614,P50859,0.85
P10614,P11509,0.05
P10614,Q43054,0.05
P10614,P78329,0.09
P10614,P10613,0.64
P10614,P51589,0.06
P10614,P08684,0.07
P10614,P20817,0.08
P10614,Q7Z1V1,0.18
P10614,P24557,0.05
Q02108,O60266,0.08
Q02108,P26769,0.09
Q02108,Q04400,0.08
Q02108,P51828,0.08
Q02108,P19754,0.08
Q02108,P40145,0.07
Q02108,P21932,0.08
Q02108,P16068,0.21
Q02108,Q08828,0.08
Q02108,P20594,0.13
Q02108,O43306,0.08
Q02108,P26770,0.09
Q02108,P25092,0.12
Q02108,O95622,0.08
Q02108,Q08462,0.09
Q02108,P19687,0.86
Q02108,Q02153,0.21
Q02108,P33402,0.42
Q02108,P40146,0.07
Q02108,P16066,0.13
Q02108,O60503,0.07
Q02108,O75343,0.19
Q02108,Q03343,0.08
Q97SR4,P60472,0.44
P33247,Q96WJ0,0.11
P33247,Q04782,0.1
P33247,P48449,0.13
P33247,P38605,0.1
P33247,P38604,0.11
P33247,P48450,0.12
P53355,P16277,0.02
P53355,Q9UKE5,0.03
P53355,Q8TD19,0.03
P53355,P16092,0.02
P53355,P49761,0.02
P53355,P21709,0.03
P53355,P51955,0.03
P53355,P53671,0.03
P53355,Q15208,0.03
P53355,O15197,0.02
P53355,O35491,0.02
P53355,P35991,0.03
P53355,P25098,0.03
P53355,P53667,0.02
P53355,P29678,0.03
P53355,Q8BLA8,0.04
P53355,Q9UL54,0.03
P53355,Q06486,0.02
P53355,Q08345,0.02
P53355,Q00534,0.03
P53355,Q9UEW8,0.03
P53355,O15075,0.07
P53355,Q9NYL2,0.02
P53355,Q96GD4,0.04
P53355,Q7KZI7,0.05
P53355,Q13233,0.04
P53355,Q78DX7,0.02
P53355,O14936,0.06
P53355,Q96PY6,0.03
P53355,P04409,0.04
P53355,Q61214,0.02
P53355,P00530,0.03
P53355,P14234,0.02
P53355,Q15831,0.04
P53355,Q04912,0.02
P53355,O70126,0.04
P53355,P04626,0.02
P53355,P08922,0.02
P53355,Q9P289,0.03
P53355,Q04759,0.04
P53355,P49840,0.02
P53355,Q63470,0.02
P53355,Q8IWQ3,0.05
P53355,P45985,0.02
P53355,A9UF02,0.03
P53355,P54763,0.03
P53355,P42681,0.02
P53355,Q06806,0.02
P53355,Q03137,0.02
P53355,P19784,0.02
P53355,P33981,0.03
P53355,P35590,0.02
P53355,Q9Y4K4,0.03
P53355,Q6ZN16,0.03
P53355,Q16832,0.02
P53355,P22612,0.04
P53355,P00523,0.02
P53355,P51813,0.03
P53355,P09216,0.03
P53355,P47811,0.03
P53355,O35492,0.02
P53355,Q96PF2,0.04
P53355,P14616,0.02
P53355,O14965,0.05
P53355,P07948,0.03
P53355,Q62868,0.03
P53355,Q8NFD2,0.07
P53355,P06213,0.02
P53355,Q13976,0.04
P53355,Q9UQM7,0.07
P53355,P28867,0.04
P53355,Q80XI6,0.03
P53355,Q96BR1,0.04
P53355,P00517,0.04
P53355,P53779,0.03
P53355,Q2M2I8,0.02
P53355,P11275,0.07
P53355,O94804,0.03
P53355,Q9UQB9,0.05
P53355,O95271,0.04
P53355,P52332,0.02
P53355,Q15759,0.03
P53355,P97477,0.05
P53355,Q64725,0.02
P53355,P68403,0.04
P53355,Q07002,0.03
P53355,Q9H2G2,0.03
P53355,P50750,0.03
P53355,O75914,0.04
P53355,P04629,0.02
P53355,P52564,0.02
P53355,P07949,0.02
P53355,P15208,0.02
P53355,Q9UHD2,0.03
P53355,Q9H3Y6,0.03
P53355,Q6P3R8,0.03
P53355,O14578,0.04
P53355,Q9P2K8,0.02
P53355,Q8IYT8,0.05
P53355,Q99683,0.03
P53355,P51617,0.02
P53355,O15530,0.04
P53355,P00546,0.03
P53355,P35916,0.02
P53355,P19838,0.03
P53355,P51451,0.02
P53355,P17252,0.04
P53355,Q16584,0.03
P53355,Q02111,0.04
P53355,P54760,0.03
P53355,Q8IW41,0.05
P53355,P52333,0.02
P53355,P41743,0.04
P53355,O14733,0.02
P53355,Q9H9B1,0.03
P53355,Q9UIK4,0.17
P53355,Q9UK32,0.05
P53355,P21803,0.02
P53355,Q9WUD9,0.02
P53355,O14757,0.04
P53355,Q9Y2H1,0.04
P53355,Q86YV6,0.08
P53355,P07332,0.03
P53355,P35626,0.03
P53355,O15111,0.03
P53355,Q13188,0.04
P53355,P11799,0.1
P53355,Q9NSY1,0.02
P53355,Q06418,0.02
P53355,P43057,0.03
P53355,P11362,0.02
P53355,P30291,0.02
P53355,P05480,0.02
P53355,P49138,0.05
P53355,P16056,0.02
P53355,Q96Q40,0.02
P53355,Q15418,0.06
P53355,Q9UQ88,0.02
P53355,Q92918,0.03
P53355,P68400,0.03
P53355,Q8IVW4,0.03
P53355,Q8N568,0.06
P53355,Q9NY57,0.03
P53355,Q9H422,0.03
P53355,O75716,0.02
P53355,P53350,0.04
P53355,Q62137,0.02
P53355,P34947,0.04
P53355,Q13464,0.03
P53355,Q6DE08,0.04
P53355,P31152,0.03
P53355,P11440,0.04
P53355,Q8IU85,0.07
P53355,Q9BXA7,0.04
P53355,Q02779,0.03
P53355,Q9WTU6,0.03
P53355,Q16816,0.06
P53355,Q9BYT3,0.05
P53355,P49185,0.02
P53355,Q02858,0.03
P53355,O96017,0.05
P53355,Q15746,0.1
P53355,Q00537,0.03
P53355,Q9Y2U5,0.03
P53355,P15127,0.02
P53355,P54645,0.05
P53355,P49187,0.03
P53355,Q9HBY8,0.04
P53355,P06241,0.02
P53355,Q8IY84,0.04
P53355,O43283,0.03
P53355,Q5VT25,0.03
P53355,Q07912,0.02
P53355,Q63644,0.03
P53355,Q7L7X3,0.03
P53355,Q05513,0.03
P53355,Q13131,0.05
P53355,P00516,0.04
P53355,P63318,0.04
P53355,Q14680,0.05
P53355,Q62190,0.02
P53355,P42680,0.03
P53355,O95835,0.03
P53355,Q9BWU1,0.03
P53355,P31938,0.03
P53355,Q06187,0.03
P53355,P27361,0.03
P53355,P04049,0.02
P53355,P09769,0.02
P53355,Q9P0L2,0.05
P53355,Q9UPZ9,0.03
P53355,Q9Y463,0.02
P53355,Q8NE63,0.03
P53355,Q8TDC3,0.06
P53355,P54762,0.03
P53355,P05696,0.04
P53355,P80192,0.03
P53355,P10721,0.02
P53355,O54967,0.02
P53355,P43403,0.03
P53355,Q8NG66,0.02
P53355,Q62120,0.03
P53355,Q9H1R3,0.08
P53355,P25911,0.03
P53355,P49760,0.02
P53355,P43404,0.03
P53355,Q00536,0.03
P53355,Q07785,0.03
P53355,Q96KQ7,0.03
P53355,Q56UN5,0.04
P53355,P48730,0.02
P53355,P49841,0.02
P53355,Q9H2K8,0.02
P53355,Q16539,0.03
P53355,O60733,0.03
P53355,Q9WUN2,0.03
P53355,Q9Y6R4,0.03
P53355,Q9P1W9,0.03
P53355,Q6PFX9,0.04
P53355,Q8IVH8,0.04
P53355,Q9H1D0,0.02
P53355,Q13554,0.07
P53355,Q9UM73,0.02
P53355,Q9H093,0.06
P53355,P25963,0.02
P53355,P24723,0.03
P53355,Q75ZY9,0.02
P53355,Q13043,0.04
P53355,O14976,0.03
P53355,Q9UKI8,0.03
P53355,Q3U3Q1,0.05
P53355,O43318,0.03
P53355,Q6DT37,0.03
P53355,O60307,0.04
P53355,O15264,0.03
P53355,Q07014,0.03
P53355,P11309,0.03
P53355,O75385,0.04
P53355,O00141,0.04
P53355,P16591,0.03
P53355,Q6PHR2,0.05
P53355,P20786,0.02
P53355,Q13882,0.02
P53355,Q05397,0.02
P53355,Q13153,0.04
P53355,Q9NRM7,0.03
P53355,Q14012,0.07
P53355,P35968,0.02
P53355,Q9Y243,0.04
P53355,Q9HC98,0.03
P53355,Q16566,0.07
P53355,P29323,0.03
P53355,P05771,0.04
P53355,P68404,0.04
P53355,P50613,0.03
P53355,O94768,0.09
P53355,O75582,0.05
P53355,P29376,0.02
P53355,P49759,0.03
P53355,Q9NRP7,0.05
P53355,P21802,0.02
P53355,Q8TD08,0.03
P53355,Q13555,0.07
P53355,P9WI81,0.03
P53355,Q13164,0.03
P53355,Q8TDX7,0.03
P53355,Q9BQI3,0.02
P53355,O75460,0.03
P53355,P09217,0.03
P53355,Q9NR20,0.03
P53355,P42679,0.02
P53355,O75762,0.04
P53355,Q14164,0.03
P53355,P11802,0.03
P53355,P05132,0.04
P53355,Q16513,0.04
P53355,P24941,0.03
P53355,Q9NWZ3,0.02
P53355,Q8N4C8,0.03
P53355,P49336,0.03
P53355,P22518,0.03
P53355,P45984,0.03
P53355,P00521,0.03
P53355,P07947,0.02
P53355,Q9NYY3,0.04
P53355,P05532,0.02
P53355,Q05655,0.04
P53355,P53778,0.03
P53355,P06494,0.02
P53355,P00519,0.03
P53355,O14920,0.04
P53355,Q00526,0.03
P53355,P54753,0.03
P53355,P31751,0.04
P53355,Q15569,0.03
P53355,Q923T9,0.07
P53355,Q4JIM5,0.03
P53355,P11798,0.07
P53355,P57059,0.06
P53355,Q13470,0.02
P53355,Q9H4A3,0.03
P53355,Q9BYP7,0.03
P53355,P06239,0.03
P53355,Q8N5S9,0.04
P53355,Q61851,0.02
P53355,Q14289,0.02
P53355,P63185,0.02
P53355,Q9Y6E0,0.03
P53355,Q13418,0.02
P53355,P19139,0.03
P53355,P17612,0.04
P53355,P19525,0.03
P53355,Q99759,0.04
P53355,Q8WTQ7,0.03
P53355,Q12866,0.02
P53355,P97504,0.03
P53355,P27791,0.04
P53355,Q9H2X6,0.03
P53355,Q00535,0.03
P53355,Q6P6U0,0.02
P53355,Q02156,0.03
P53355,O88351,0.04
P53355,P22607,0.02
P53355,P28652,0.07
P53355,Q86UE8,0.03
P53355,P43250,0.04
P53355,O75116,0.03
P53355,P54756,0.03
P53355,Q13237,0.04
P53355,P20444,0.04
P53355,Q92772,0.03
P53355,Q96NX5,0.07
P53355,O00506,0.03
P53355,P35969,0.02
P53355,P12931,0.02
P53355,P32298,0.04
P53355,Q9JI10,0.04
P53355,Q9NZJ5,0.02
P53355,P45983,0.02
P53355,Q9H2K2,0.04
P53355,P09215,0.04
P53355,P22455,0.02
P53355,P00520,0.03
P53355,P00524,0.02
P53355,P18654,0.06
P53355,Q9Z148,0.03
P53355,Q5GIT4,0.02
P53355,Q02750,0.03
P53355,Q9BUB5,0.05
P53355,O95819,0.02
P53355,P16054,0.03
P53355,Q9P286,0.04
P53355,Q59H18,0.04
P53355,Q15139,0.05
P53355,Q09137,0.05
P53355,P23443,0.04
P53355,P51136,0.02
P53355,Q08881,0.03
P53355,P22694,0.04
P53355,O43293,0.17
P53355,P29319,0.02
P53355,P54764,0.02
P53355,Q9HBH9,0.05
P53355,Q9WV60,0.02
P53355,P27448,0.05
P53355,Q9C098,0.07
P53355,P06240,0.03
P53355,Q9H4B4,0.04
P53355,Q8NEV4,0.03
P53355,Q9UF33,0.02
P53355,P43405,0.02
P53355,Q16659,0.02
P53355,Q8WXR4,0.03
P53355,Q86UX6,0.03
P53355,Q13627,0.02
P53355,O00444,0.05
P53355,Q86V86,0.03
P53355,Q99640,0.03
P53355,O94806,0.05
P53355,O43781,0.02
P53355,Q9WTQ0,0.04
P53355,P63086,0.03
P53355,P08631,0.03
P53355,Q16644,0.05
P53355,Q9BZL6,0.05
P53355,Q86Z02,0.03
P53355,P05131,0.04
P53355,Q15375,0.03
P53355,Q64617,0.03
P53355,P21127,0.02
P53355,Q6RI86,0.04
P53355,P63085,0.03
P53355,Q81ZY9,0.02
P53355,Q13177,0.04
P53355,Q15349,0.06
P53355,P35546,0.02
P53355,P49137,0.05
P53355,O43353,0.02
P53355,Q9WUI1,0.03
P53355,P29320,0.02
P53355,Q9HAZ1,0.03
P53355,Q9R117,0.03
P53355,P35917,0.02
P53355,Q02763,0.03
P53355,Q05921,0.02
P53355,Q9UBS0,0.04
P53355,Q99558,0.03
P53355,Q16288,0.02
P53355,P40231,0.02
P53355,P68181,0.04
P53355,Q9NQU5,0.04
P53355,P15056,0.03
P53355,O95747,0.03
P53355,Q12851,0.03
P53355,P51812,0.06
P53355,Q9UBE8,0.03
P53355,P35918,0.02
P53355,P63319,0.04
P53355,P26618,0.02
P53355,Q5S007,0.02
P53355,P36507,0.03
P53355,P97793,0.02
P53355,Q15303,0.02
P53355,Q92630,0.02
P53355,Q96RG2,0.04
P53355,P08581,0.02
P53355,Q13546,0.02
P53355,Q13163,0.02
P53355,P31749,0.04
P53355,Q16512,0.03
P53355,Q9DC28,0.02
P53355,O60285,0.06
P53355,P42685,0.03
P53355,P06493,0.04
P53355,O75676,0.05
P53355,Q9UEE5,0.09
P53355,Q9H0K1,0.06
P53355,Q96L34,0.05
P53355,Q15835,0.03
P53355,O35493,0.03
P53355,O96013,0.04
P53355,Q96RR4,0.04
P53355,Q00653,0.03
P53355,P17157,0.03
P53355,P23458,0.03
P53355,P28482,0.03
P53355,Q59EB3,0.02
P53355,Q9Y5S2,0.03
P53355,P29322,0.02
P53355,P42684,0.03
P53355,P29597,0.03
P53355,P51817,0.04
P53355,O15146,0.02
P53355,Q9Y3S1,0.03
P53355,P23298,0.03
P53355,P29317,0.02
P53355,Q9Y2H9,0.03
P53355,P31750,0.04
P53355,Q13557,0.07
P53355,P10398,0.02
P53355,P41279,0.02
P53355,P17948,0.02
P53355,Q3UES3,0.04
P53355,O94921,0.03
P53355,P05129,0.04
P53355,Q16620,0.02
P53355,O60674,0.03
P53355,Q09013,0.03
P53355,P57078,0.04
P53355,P15735,0.06
P53355,Q8TDR2,0.02
P53355,P54646,0.05
P53355,P70618,0.03
Q9BXA5,Q969V1,0.13
Q9BXA5,P41231,0.21
Q9BXA5,Q9ESG6,0.1
Q9BXA5,P21728,0.08
Q9BXA5,Q9H1C0,0.11
Q9BXA5,O43603,0.14
Q9BXA5,P79350,0.12
Q9BXA5,P49285,0.09
Q9BXA5,P41597,0.14
Q9BXA5,P14842,0.07
Q9BXA5,Q6IYF9,0.73
Q9BXA5,Q9H244,0.1
Q9BXA5,P51582,0.21
Q9BXA5,Q16581,0.08
Q9BXA5,P50130,0.08
Q9BXA5,O88319,0.09
Q9BXA5,Q9UKP6,0.08
Q9BXA5,P21462,0.14
Q9BXA5,P35463,0.07
Q9BXA5,P21556,0.16
Q9BXA5,P15823,0.09
Q9BXA5,P29089,0.16
Q9BXA5,Q6Y1R5,0.26
Q9BXA5,P18841,0.09
Q9BXA5,Q99705,0.12
Q9BXA5,Q8BLD9,0.08
Q9BXA5,Q15722,0.12
Q9BXA5,Q13304,0.18
Q9BXA5,P41143,0.14
Q9BXA5,Q61616,0.07
Q9BXA5,P21761,0.08
Q9BXA5,Q96P65,0.11
Q9BXA5,P33533,0.14
Q9BXA5,P07550,0.08
Q9BXA5,P25102,0.08
Q9BXA5,P46663,0.14
Q9BXA5,P19020,0.07
Q9BXA5,P32248,0.12
Q9BXA5,P25024,0.13
Q9BXA5,P30411,0.14
Q9BXA5,P35346,0.16
Q9BXA5,O08726,0.14
Q9BXA5,P10608,0.08
Q9BXA5,O15552,0.09
Q9BXA5,P35372,0.12
Q9BXA5,P50052,0.11
Q9BXA5,P30875,0.14
Q9BXA5,O08786,0.09
Q9BXA5,P31391,0.14
Q9BXA5,P31389,0.07
Q9BXA5,P32302,0.1
Q9BXA5,P25116,0.11
Q9BXA5,Q2NNR5,0.18
Q9BXA5,O54814,0.14
Q9BXA5,P51680,0.16
Q9BXA5,Q63931,0.09
Q9BXA5,P25105,0.14
Q9BXA5,P41146,0.14
Q9BXA5,Q80Z39,0.16
Q9BXA5,P13945,0.07
Q9BXA5,Q5KSK8,0.1
Q9BXA5,P97639,0.12
Q9BXA5,P18130,0.1
Q9BXA5,P50391,0.08
Q9BXA5,Q8TDS4,0.17
Q9BXA5,P30873,0.15
Q9BXA5,O70528,0.07
Q9BXA5,Q3U6B2,0.17
Q9BXA5,P32305,0.08
Q9BXA5,P49652,0.27
Q9BXA5,P49660,0.15
Q9BXA5,P30547,0.08
Q9BXA5,O60755,0.1
Q9BXA5,P51685,0.12
Q9BXA5,P41144,0.15
Q9BXA5,P25021,0.08
Q9BXA5,P49019,0.15
Q9BXA5,P49146,0.08
Q9BXA5,O54798,0.08
Q9BXA5,P34968,0.07
Q9BXA5,P49682,0.11
Q9BXA5,P43140,0.09
Q9BXA5,P48748,0.11
Q9BXA5,P54833,0.08
Q9BXA5,Q924U1,0.11
Q9BXA5,P35383,0.18
Q9BXA5,P35344,0.15
Q9BXA5,P28223,0.07
Q9BXA5,Q99527,0.12
Q9BXA5,P30555,0.16
Q9BXA5,Q15077,0.19
Q9BXA5,O43614,0.08
Q9BXA5,P25929,0.11
Q9BXA5,O88410,0.1
Q9BXA5,O55193,0.14
Q9BXA5,P20789,0.09
Q9BXA5,Q95254,0.12
Q9BXA5,Q92847,0.13
Q9BXA5,O43613,0.08
Q9BXA5,Q9BDS8,0.13
Q9BXA5,Q9Y5Y4,0.08
Q9BXA5,P18090,0.09
Q9BXA5,P30098,0.08
Q9BXA5,Q6XKD3,0.08
Q9BXA5,P49681,0.14
Q9BXA5,P48145,0.12
Q9BXA5,P51050,0.08
Q9BXA5,Q9Y2T6,0.08
Q9BXA5,P51683,0.14
Q9BXA5,Q8TCW9,0.08
Q9BXA5,P30552,0.09
Q9BXA5,Q96G91,0.12
Q9BXA5,Q75Z89,0.07
Q9BXA5,Q14330,0.1
Q9BXA5,P58406,0.07
Q9BXA5,P56481,0.09
Q9BXA5,P25104,0.16
Q9BXA5,P30680,0.14
Q9BXA5,P55085,0.16
Q9BXA5,P16177,0.09
Q9BXA5,Q9EP66,0.17
Q9BXA5,P97266,0.08
Q9BXA5,Q9BDQ5,0.13
Q9BXA5,P32246,0.17
Q9BXA5,P51679,0.16
Q9BXA5,P79291,0.12
Q9BXA5,P28336,0.1
Q9BXA5,P25100,0.07
Q9BXA5,P21452,0.1
Q9BXA5,P30874,0.14
Q9BXA5,P42866,0.12
Q9BXA5,P48039,0.11
Q9BXA5,P33534,0.15
Q9BXA5,Q1ZY22,0.11
Q9BXA5,P04274,0.08
Q9BXA5,P51677,0.13
Q9BXA5,P08588,0.09
Q9BXA5,P61073,0.14
Q9BXA5,Q8TDS5,0.14
Q9BXA5,P35377,0.14
Q9BXA5,P19327,0.07
Q9BXA5,P30728,0.07
Q9BXA5,P34969,0.08
Q9BXA5,Q9Z2J6,0.08
Q9BXA5,P31388,0.08
Q9BXA5,P32247,0.08
Q9BXA5,P35348,0.1
Q9BXA5,O08725,0.13
Q9BXA5,Q01717,0.08
Q9BXA5,P32300,0.14
Q9BXA5,P50129,0.07
Q9BXA5,P69332,0.14
Q9BXA5,O08565,0.13
Q9BXA5,P48302,0.07
Q9BXA5,P51684,0.15
Q9BXA5,Q969F8,0.12
Q9BXA5,P25103,0.07
Q9BXA5,Q95136,0.08
Q9BXA5,P30550,0.08
Q9BXA5,Q28044,0.08
Q9BXA5,P30872,0.15
